Year,ID,YoD
2005,I35,NA
2005,A34,NA
2005,C08,NA
2005,D11,NA
2005,I26,NA
2005,G22,NA
2005,I21,NA
2005,R13,NA
2005,A42,NA
2005,I04,NA
2005,I24,NA
2005,I40,NA
2005,A43,NA
2005,G31,NA
2005,D12,NA
2005,I50,NA
2005,I54,NA
2005,A50,NA
2005,D13,NA
2005,G37,NA
2005,R22,NA
2005,C13,NA
2005,R23,NA
2005,I51,NA
2005,A52,NA
2005,G41,NA
2005,R24,NA
2005,H09,NA
2005,A54,NA
2005,I57,NA
2005,A56,NA
2005,D17,NA
2005,G48,NA
2005,I65,NA
2005,B14,NA
2005,G46,NA
2005,G50,NA
2005,I68,NA
2005,I69,NA
2005,G51,NA
2005,G52,NA
2005,I71,NA
2005,A62,NA
2005,G53,NA
2005,G54,NA
2005,R29,NA
2005,A64,NA
2005,G58,NA
2005,A67,NA
2005,A69,NA
2005,I83,NA
2005,C23,NA
2005,D19,NA
2005,R35,NA
2005,A70,NA
2005,A72,NA
2005,D20,NA
2005,G62,NA
2005,G63,NA
2005,I90,NA
2005,I92,NA
2005,R38,NA
2005,A73,NA
2005,G64,NA
2005,G65,NA
2005,G69,NA
2005,R39,NA
2005,R40,NA
2005,A75,NA
2005,H12,NA
2005,I104,NA
2005,I96,NA
2005,R41,NA
2005,I100,NA
2005,I99,NA
2005,C26,NA
2005,R48,NA
2005,G82,NA
2005,A88,NA
2005,R52,NA
2005,A96,NA
2005,G95,NA
2006,C21,2007
2006,D15,2008
2006,I80,2008
2006,R07,2009
2006,G25,2009
2006,H08,2009
2006,G23,2011
2006,A51,2011
2006,A12,2012
2006,A28,2012
2006,A30,2013
2006,I11,2013
2006,C06,2013
2006,A11,2013
2006,A24,2013
2006,G29,2013
2006,G34,2013
2006,D10,2013
2006,C19,2013
2006,I82,2014
2006,I19,2015
2006,I63,2015
2006,W03,2017
2006,G49,2017
2006,B07,NA
2006,R05,NA
2006,G03,NA
2006,I17,NA
2006,G02,NA
2006,I20,NA
2006,R04,NA
2006,I22,NA
2006,R18,NA
2006,I16,NA
2006,R17,NA
2006,I12,NA
2006,I33,NA
2006,C10,NA
2006,D09,NA
2006,G20,NA
